SRC_DOMAIN -> DEST_DOMAIN
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> creativecommons.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> mediawiki.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> donate.wikimedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> donate.wikimedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> commons.wikimedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
map-bms.wikipedia.org -> abstract.wikipedia.org
map-bms.wikipedia.org -> commons.wikimedia.org
map-bms.wikipedia.org -> foundation.wikimedia.org
map-bms.wikipedia.org -> mediawiki.org
map-bms.wikipedia.org -> meta.wikimedia.org
map-bms.wikipedia.org -> outreach.wikimedia.org
map-bms.wikipedia.org -> wikisource.org
map-bms.wikipedia.org -> species.wikimedia.org
map-bms.wikipedia.org -> wikidata.org
map-bms.wikipedia.org -> wikifunctions.org
map-bms.wikipedia.org -> wikimania.wikimedia.org
map-bms.wikipedia.org -> wikidata.org
map-bms.wikipedia.org -> map-bms.wikipedia.org
